id,pesel,age,sex,name,surname,phone_number,email_address
1,12345678901,2M,F,Alicja,Gęś,,
2,44423121233,4M,F,Kinga,Koza,,
3,46547787872,5Y,M,Daniel,Kot,,
4,45674569878,5Y,M,Adam,Nowak,,
5,12343345234,4Y,M,Kacper,Kowalski,,
6,24324576445,12Y,F,Liliana,Kowalska,,
7,67879856665,6Y,F,Julia,Kowalska,,
8,90453672342,8Y,F,Kinga,Kowalska,,
9,12457677654,1Y,F,Małgorzata,Marcinkowska,,
10,56777755674,3Y,F,Roksana,Karp,,
11,23454565675,10M,M,Daniel,Grządka,,
12,46679876334,3Y,F,Danuta,Nowak,,
13,12645789456,15Y,M,Marcin,Nowak,,
14,96756834567,17Y,M,Roman,Nowak,,
15,98678875543,7Y,F,Ksenia,Malinowska,,
16,13244357767,7Y,F,Anna,Kowalska,,
17,34577856577,9Y,F,Joanna,Kądziela,,
18,56778733333,15Y,M,Karol,Fiołek,,
19,89987574656,12Y,M,Daniel,Łoś,,
20,98675467667,6Y,M,Dawid,Fok,,
21,34567796767,3M,M,Ignacy,Ostrowski,,
22,69879089767,3Y,F,Paulina,Nowak,,
